Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,11.752914428710938,11.777911186218262,11.550000190734863,11.550000190734863,11.550000190734863,0
2023-05-09,11.839800834655762,11.839800834655762,11.600000381469727,11.600000381469727,11.600000381469727,0
2023-05-10,11.7880859375,11.7880859375,11.760945320129395,11.550000190734863,11.550000190734863,0
2023-05-11,11.600000381469727,11.752755165100098,11.550000190734863,11.550000190734863,11.550000190734863,0
2023-05-12,11.758350372314453,11.758350372314453,11.550000190734863,11.550000190734863,11.550000190734863,0
2023-05-15,11.682867050170898,11.682867050170898,11.080409049987793,11.591023445129395,11.591023445129395,0
2023-05-16,11.073331832885742,11.076436996459961,11.073331832885742,11.550000190734863,11.550000190734863,0
2023-05-17,11.101758003234863,11.101758003234863,10.75,10.850000381469727,10.850000381469727,0
2023-05-18,10.915262222290039,10.915262222290039,10.479780197143555,10.75,10.75,0
2023-05-19,10.517033576965332,10.777783393859863,10.517033576965332,10.75,10.75,0
2023-05-22,10.747115135192871,10.781427383422852,10.600000381469727,10.600000381469727,10.600000381469727,0
2023-05-23,10.786513328552246,10.873406410217285,10.786513328552246,10.75,10.75,0
2023-05-24,10.882137298583984,10.962542533874512,10.882137298583984,10.800000190734863,10.800000190734863,0
2023-05-25,10.978094100952148,11.15017032623291,10.978094100952148,10.800000190734863,10.800000190734863,0
2023-05-26,10.850000381469727,11.150506973266602,10.850000381469727,10.800000190734863,10.800000190734863,0
2023-05-29,11.17739486694336,11.223909378051758,11.165157318115234,11.172445297241211,11.172445297241211,0
2023-05-30,11.226946830749512,11.226946830749512,11.124982833862305,11.223909378051758,11.223909378051758,0
2023-05-31,11.123324394226074,11.346528053283691,11.123324394226074,11.0,11.0,0
2023-06-01,11.340581893920898,11.340581893920898,11.246926307678223,10.899999618530273,10.899999618530273,0
2023-06-02,11.196133613586426,11.196133613586426,11.12901782989502,11.246926307678223,11.246926307678223,0
2023-06-05,11.20332145690918,11.253653526306152,10.75,11.169532775878906,11.169532775878906,0
2023-06-06,11.22661304473877,11.260003089904785,11.22661304473877,10.899999618530273,10.899999618530273,0
2023-06-07,11.248953819274902,11.272138595581055,10.850000381469727,10.850000381469727,10.850000381469727,0
2023-06-08,11.28366470336914,11.28366470336914,10.899999618530273,10.899999618530273,10.899999618530273,0
2023-06-09,11.222304344177246,11.269816398620605,11.222304344177246,10.90999984741211,10.90999984741211,0
2023-06-12,11.293256759643555,11.293256759643555,10.899999618530273,11.27211856842041,11.27211856842041,0
2023-06-13,11.289648056030273,11.289648056030273,11.281633377075195,10.800000190734863,10.800000190734863,0
2023-06-14,11.285553932189941,11.328437805175781,11.285553932189941,10.800000190734863,10.800000190734863,0
2023-06-15,11.29472827911377,11.334564208984375,11.29472827911377,10.899999618530273,10.899999618530273,0
2023-06-16,11.223623275756836,11.26797866821289,11.223623275756836,10.949999809265137,10.949999809265137,0
2023-06-19,11.285648345947266,11.300955772399902,10.899999618530273,11.256213188171387,11.256213188171387,0
2023-06-20,11.302352905273438,11.32612419128418,10.949999809265137,10.949999809265137,10.949999809265137,0
2023-06-21,11.340337753295898,11.340337753295898,10.949999809265137,10.949999809265137,10.949999809265137,0
2023-06-22,11.2299222946167,11.32943058013916,10.899999618530273,10.899999618530273,10.899999618530273,0
2023-06-23,11.379071235656738,11.517403602600098,10.899999618530273,10.949999809265137,10.949999809265137,0
2023-06-26,11.477326393127441,11.4817476272583,11.424406051635742,11.446207046508789,11.446207046508789,0
2023-06-27,11.426920890808105,11.481444358825684,11.050000190734863,10.949999809265137,10.949999809265137,0
2023-06-28,11.474316596984863,11.483136177062988,11.474316596984863,11.050000190734863,11.050000190734863,0
2023-06-29,11.52724838256836,11.52724838256836,11.050000190734863,11.050000190734863,11.050000190734863,0
2023-06-30,11.435114860534668,11.435114860534668,11.0,11.0,11.0,0
2023-07-03,11.32682991027832,11.340134620666504,11.32682991027832,11.304068565368652,11.304068565368652,0
2023-07-04,11.3568754196167,11.3568754196167,11.3568754196167,11.0,11.0,0
2023-07-05,11.36099624633789,11.36099624633789,11.0,11.3568754196167,11.3568754196167,0
2023-07-06,11.357675552368164,11.357675552368164,11.0,11.0,11.0,0
2023-07-07,11.354208946228027,11.354208946228027,11.352890014648438,11.0,11.0,0
2023-07-10,11.277664184570312,11.35391902923584,11.0,11.263949394226074,11.263949394226074,0
2023-07-11,11.303114891052246,11.370844841003418,11.303114891052246,11.0,11.0,0
2023-07-12,11.339059829711914,11.355170249938965,11.339059829711914,11.0,11.0,0
2023-07-13,11.233756065368652,11.350761413574219,11.233756065368652,11.0,11.0,0
2023-07-14,11.301051139831543,11.345710754394531,11.301051139831543,11.0,11.0,0
2023-07-17,11.347833633422852,11.348596572875977,11.347833633422852,11.324176788330078,11.324176788330078,0
2023-07-18,11.342036247253418,11.346288681030273,11.342036247253418,11.0,11.0,0
2023-07-19,11.370841026306152,11.370841026306152,11.0,11.0,11.0,0
2023-07-20,11.334797859191895,11.583866119384766,11.0,11.0,11.0,0
2023-07-21,11.651522636413574,11.651522636413574,11.58066463470459,11.550000190734863,11.550000190734863,0
2023-07-24,11.5773344039917,11.629072189331055,11.559807777404785,11.570627212524414,11.570627212524414,0
2023-07-25,11.59255313873291,11.59255313873291,11.255450248718262,11.550000190734863,11.550000190734863,0
2023-07-26,11.245622634887695,11.302851676940918,11.0,11.0,11.0,0
