Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,18.385950088500977,18.4147891998291,18.272600173950195,18.385950088500977,18.385950088500977,0
2023-05-09,18.28285026550293,18.621200561523438,18.309310913085938,18.28285026550293,18.28285026550293,0
2023-05-10,18.596149444580078,18.903249740600586,18.604589462280273,18.596149444580078,18.596149444580078,0
2023-05-11,18.848400115966797,19.317699432373047,18.814800262451172,18.848400115966797,18.848400115966797,0
2023-05-12,19.170499801635742,19.509700775146484,18.888200759887695,19.170499801635742,19.170499801635742,0
2023-05-15,19.155799865722656,19.184890747070312,18.992700576782227,19.155799865722656,19.155799865722656,0
2023-05-16,18.99690055847168,19.16061019897461,18.987199783325195,18.99690055847168,18.99690055847168,0
2023-05-17,19.04960060119629,19.3735408782959,19.046199798583984,19.04960060119629,19.04960060119629,0
2023-05-18,19.233299255371094,19.488689422607422,19.247800827026367,19.233299255371094,19.233299255371094,0
2023-05-19,19.303850173950195,19.519649505615234,19.240400314331055,19.303850173950195,19.303850173950195,0
2023-05-22,19.41200065612793,19.49802017211914,19.20170021057129,19.41200065612793,19.41200065612793,0
2023-05-23,19.24850082397461,19.313499450683594,19.163400650024414,19.24850082397461,19.24850082397461,0
2023-05-24,19.166799545288086,19.305070877075195,19.124500274658203,19.166799545288086,19.166799545288086,0
2023-05-25,19.227100372314453,19.77720069885254,19.219600677490234,19.227100372314453,19.227100372314453,0
2023-05-26,19.774499893188477,19.808700561523438,19.534000396728516,19.774499893188477,19.774499893188477,0
2023-05-29,19.64480972290039,19.731000900268555,19.608200073242188,19.64480972290039,19.64480972290039,0
2023-05-30,19.629989624023438,19.86389923095703,19.631999969482422,19.629989624023438,19.629989624023438,0
2023-05-31,19.652910232543945,19.844600677490234,19.658899307250977,19.652910232543945,19.652910232543945,0
2023-06-01,19.694950103759766,19.912750244140625,19.57229995727539,19.694950103759766,19.694950103759766,0
2023-06-02,19.61090087890625,19.652799606323242,19.39620018005371,19.61090087890625,19.61090087890625,0
2023-06-05,19.516000747680664,19.559329986572266,19.22903060913086,19.516000747680664,19.516000747680664,0
2023-06-06,19.241199493408203,19.335750579833984,19.173660278320312,19.241199493408203,19.241199493408203,0
2023-06-07,19.168800354003906,19.299739837646484,18.97010040283203,19.168800354003906,19.168800354003906,0
2023-06-08,19.06744956970215,19.10226058959961,18.79759979248047,19.06744956970215,19.06744956970215,0
2023-06-09,18.8221492767334,18.899499893188477,18.6919002532959,18.8221492767334,18.8221492767334,0
2023-06-12,18.68185043334961,18.74810028076172,18.509140014648438,18.68185043334961,18.68185043334961,0
2023-06-13,18.54598045349121,18.670400619506836,18.257600784301758,18.54598045349121,18.54598045349121,0
2023-06-14,18.600200653076172,18.65052032470703,18.238399505615234,18.600200653076172,18.600200653076172,0
2023-06-15,18.300600051879883,18.467100143432617,18.2367000579834,18.300600051879883,18.300600051879883,0
2023-06-16,18.194049835205078,18.263099670410156,18.116500854492188,18.194049835205078,18.194049835205078,0
2023-06-19,18.199600219726562,18.26930046081543,18.12380027770996,18.199600219726562,18.199600219726562,0
2023-06-20,18.147829055786133,18.457599639892578,18.126399993896484,18.147829055786133,18.147829055786133,0
2023-06-21,18.368900299072266,18.44890022277832,18.311199188232422,18.368900299072266,18.368900299072266,0
2023-06-22,18.287870407104492,18.527599334716797,18.302600860595703,18.287870407104492,18.287870407104492,0
2023-06-23,18.4950008392334,18.768199920654297,18.497270584106445,18.4950008392334,18.4950008392334,0
2023-06-26,18.73200035095215,18.743799209594727,18.542499542236328,18.73200035095215,18.73200035095215,0
2023-06-27,18.645700454711914,18.659259796142578,18.420000076293945,18.645700454711914,18.645700454711914,0
2023-06-28,18.50830078125,18.74250030517578,18.50309944152832,18.50830078125,18.50830078125,0
2023-06-29,18.62380027770996,18.87700080871582,18.626699447631836,18.62380027770996,18.62380027770996,0
2023-06-30,18.749500274658203,19.0362606048584,18.684900283813477,18.749500274658203,18.749500274658203,0
2023-07-03,18.827600479125977,18.86669921875,18.650999069213867,18.8262996673584,18.8262996673584,0
2023-07-04,18.736299514770508,18.782819747924805,18.598499298095703,18.736299514770508,18.736299514770508,0
2023-07-05,18.63129997253418,18.81719970703125,18.628799438476562,18.63129997253418,18.63129997253418,0
2023-07-06,18.758499145507812,19.140600204467773,18.741220474243164,18.758499145507812,18.758499145507812,0
2023-07-07,19.08489990234375,19.147199630737305,18.80500030517578,19.08489990234375,19.08489990234375,0
2023-07-10,18.820999145507812,18.953149795532227,18.747299194335938,18.80699920654297,18.80699920654297,0
2023-07-11,18.769899368286133,18.800350189208984,18.518239974975586,18.769899368286133,18.769899368286133,0
2023-07-12,18.448200225830078,18.516050338745117,18.155399322509766,18.448200225830078,18.448200225830078,0
2023-07-13,18.122699737548828,18.179100036621094,17.907100677490234,18.122699737548828,18.122699737548828,0
2023-07-14,17.91230010986328,18.16884994506836,17.895000457763672,17.91230010986328,17.91230010986328,0
2023-07-17,18.080209732055664,18.191600799560547,17.98710060119629,18.078899383544922,18.078899383544922,0
2023-07-18,18.020200729370117,18.035400390625,17.802099227905273,18.020200729370117,18.020200729370117,0
2023-07-19,17.864500045776367,17.97369956970215,17.817319869995117,17.864500045776367,17.864500045776367,0
2023-07-20,17.833669662475586,17.97825050354004,17.726200103759766,17.833669662475586,17.833669662475586,0
2023-07-21,17.909910202026367,18.062950134277344,17.848100662231445,17.909910202026367,17.909910202026367,0
2023-07-24,17.940099716186523,18.042640686035156,17.724700927734375,17.940099716186523,17.940099716186523,0
2023-07-25,17.725130081176758,17.744829177856445,17.52025032043457,17.725130081176758,17.725130081176758,0
2023-07-26,17.52050018310547,17.71879005432129,17.532800674438477,17.52050018310547,17.52050018310547,0
2023-07-27,17.61009979248047,17.740999221801758,17.419849395751953,17.61009979248047,17.61009979248047,0
2023-07-28,17.78904914855957,17.966800689697266,17.531099319458008,17.78904914855957,17.78904914855957,0
2023-07-31,17.597999572753906,17.81521987915039,17.5039005279541,17.597999572753906,17.597999572753906,0
2023-08-01,17.855199813842773,18.27239990234375,17.845699310302734,17.855199813842773,17.855199813842773,0
2023-08-02,18.240190505981445,18.575950622558594,18.243200302124023,18.240190505981445,18.240190505981445,0
2023-08-03,18.442699432373047,18.77239990234375,18.39240074157715,18.442699432373047,18.442699432373047,0
2023-08-04,18.638999938964844,18.743999481201172,18.37579917907715,18.638999938964844,18.638999938964844,0
2023-08-07,18.438800811767578,18.742229461669922,18.425199508666992,18.438800811767578,18.438800811767578,0
2023-08-08,18.696800231933594,18.999000549316406,18.609100341796875,18.696800231933594,18.696800231933594,0
2023-08-09,18.907499313354492,19.080400466918945,18.828800201416016,18.907499313354492,18.907499313354492,0
2023-08-10,18.951419830322266,19.00189971923828,18.662500381469727,18.951419830322266,18.951419830322266,0
2023-08-11,18.819900512695312,18.950199127197266,18.7947998046875,18.819900512695312,18.819900512695312,0
2023-08-14,18.923200607299805,19.160600662231445,18.914600372314453,18.923200607299805,18.923200607299805,0
2023-08-15,19.064899444580078,19.292299270629883,18.99690055847168,19.064899444580078,19.064899444580078,0
2023-08-16,19.137699127197266,19.198400497436523,18.998929977416992,19.137699127197266,19.137699127197266,0
